Betriebsmittelkennzeichen (BMK);Funktion;Artikelbeschreibung;Hersteller;Artikelnummer;Bestellnummer;Lieferant;Menge;Einheit
-P10.1;Spot;Einbauleuchte Slim68 MiniAMP schwarz, rund, 8W, 24V DC, neutralweiß, nicht dimmbar;ISOLED;111012560;;leuchtmittel-verkauf.de;1;Stk
-P10.2;Spot;Einbauleuchte Slim68 MiniAMP schwarz, rund, 8W, 24V DC, neutralweiß, nicht dimmbar;ISOLED;111012560;;leuchtmittel-verkauf.de;1;Stk
-P10.3;Spot;Einbauleuchte Slim68 MiniAMP schwarz, rund, 8W, 24V DC, neutralweiß, nicht dimmbar;ISOLED;111012560;;leuchtmittel-verkauf.de;1;Stk
-P10.4;Spot;Einbauleuchte Slim68 MiniAMP schwarz, rund, 8W, 24V DC, neutralweiß, nicht dimmbar;ISOLED;111012560;;leuchtmittel-verkauf.de;1;Stk
-P10.5;Spot;Einbauleuchte Slim68 MiniAMP schwarz, rund, 8W, 24V DC, neutralweiß, nicht dimmbar;ISOLED;111012560;;leuchtmittel-verkauf.de;1;Stk
-P10.6;Spot;Einbauleuchte Slim68 MiniAMP schwarz, rund, 8W, 24V DC, neutralweiß, nicht dimmbar;ISOLED;111012560;;leuchtmittel-verkauf.de;1;Stk
-P10.7;Spot;Einbauleuchte Slim68 MiniAMP schwarz, rund, 8W, 24V DC, neutralweiß, nicht dimmbar;ISOLED;111012560;;leuchtmittel-verkauf.de;1;Stk
-P10.8;Spot;Einbauleuchte Slim68 MiniAMP schwarz, rund, 8W, 24V DC, neutralweiß, nicht dimmbar;ISOLED;111012560;;leuchtmittel-verkauf.de;1;Stk
-P10.9;Spot;Einbauleuchte Slim68 MiniAMP schwarz, rund, 8W, 24V DC, neutralweiß, nicht dimmbar;ISOLED;111012560;;leuchtmittel-verkauf.de;1;Stk
-P6.2;;;;;;;;
-P7.1;;;;;;;;
-P7.2;;;;;;;;
-P7.3;;;;;;;;
-P7.4;;;;;;;;
-P8.2;;;;;;;;
-P9.11;Spot;Einbauleuchte Slim68 MiniAMP schwarz, rund, 8W, 24V DC, neutralweiß, nicht dimmbar;ISOLED;111012560;;leuchtmittel-verkauf.de;1;Stk
-P9.12;Spot;Einbauleuchte Slim68 MiniAMP schwarz, rund, 8W, 24V DC, neutralweiß, nicht dimmbar;ISOLED;111012560;;leuchtmittel-verkauf.de;1;Stk
-P9.13;Spot;Einbauleuchte Slim68 MiniAMP schwarz, rund, 8W, 24V DC, neutralweiß, nicht dimmbar;ISOLED;111012560;;leuchtmittel-verkauf.de;1;Stk
-P9.14;Spot;Einbauleuchte Slim68 MiniAMP schwarz, rund, 8W, 24V DC, neutralweiß, nicht dimmbar;ISOLED;111012560;;leuchtmittel-verkauf.de;1;Stk
-P9.15;Spot;Einbauleuchte Slim68 MiniAMP schwarz, rund, 8W, 24V DC, neutralweiß, nicht dimmbar;ISOLED;111012560;;leuchtmittel-verkauf.de;1;Stk
-P9.16;Spot;Einbauleuchte Slim68 MiniAMP schwarz, rund, 8W, 24V DC, neutralweiß, nicht dimmbar;ISOLED;111012560;;leuchtmittel-verkauf.de;1;Stk
