Betriebsmittelkennzeichen (BMK);Funktion;Artikelbeschreibung;Hersteller;Artikelnummer;Bestellnummer;Lieferant;Menge;Einheit
-E10.1;;;;;;;;
-E10.2;;;;;;;;
-E10.3;;;;;;;;
-E10.4;;;;;;;;
-E11.1;;;;;;;;
-E11.2;;;;;;;;
-E23.1;;;;;;;;
-E23.1;;;;;;;;
-E23.1;;;;;;;;
-E23.1;;;;;;;;
-E37.1;;;;;;;;
-E37.2;;;;;;;;
-E37.3;;;;;;;;
-E37.4;;;;;;;;
-E37.5;;;;;;;;
-E37.6;;;;;;;;
-E6.1;Wärmepumpe;WPL-A 10.2 Plus HK 400;Stiebel Eltron;;;Stiefenhofer;;
-E6.2;Integralspeicher;HSBC 300 L cool;Stiebel Eltron;;;Stiefenhofer;;
-F22.2;Sicherung 24V;CBM E8 24DC/0.5-10A NO-R - Elektronischer Geräteschutzschalter;Phoenix Contact;2905744;;;;
-F33.2;Sicherung 24V;CBM E8 24DC/0.5-10A NO-R - Elektronischer Geräteschutzschalter;phoenixcontact;2905744;;;;
-F9.2;Sicherung 24V;CBM E8 24DC/0.5-10A NO-R - Elektronischer Geräteschutzschalter;Phoenix Contact;2905744;;;;

-Q14.1;;RIF-0-RPT-24DC/ 1 - Relaismodul;phoenixcontact;2903361;;;;
-Q14.2;;RIF-0-RPT-24DC/ 1 - Relaismodul;phoenixcontact;2903361;;;;
-Q14.3;;RIF-0-RPT-24DC/ 1 - Relaismodul;phoenixcontact;2903361;;;;
-Q14.4;;RIF-0-RPT-24DC/ 1 - Relaismodul;phoenixcontact;2903361;;;;
-Q14.5;;RIF-0-RPT-24DC/ 1 - Relaismodul;phoenixcontact;2903361;;;;
-Q15.1;;RIF-0-RPT-24DC/ 1 - Relaismodul;phoenixcontact;2903361;;;;
-Q15.2;;RIF-0-RPT-24DC/ 1 - Relaismodul;phoenixcontact;2903361;;;;
-Q15.3;;RIF-0-RPT-24DC/ 1 - Relaismodul;phoenixcontact;2903361;;;;
-Q27.1;;RIF-0-RPT-24DC/ 1 - Relaismodul;phoenixcontact;2903361;;;;
-Q27.2;;RIF-0-RPT-24DC/ 1 - Relaismodul;phoenixcontact;2903361;;;;
-Q27.3;;RIF-0-RPT-24DC/ 1 - Relaismodul;phoenixcontact;2903361;;;;
-Q27.4;;RIF-0-RPT-24DC/ 1 - Relaismodul;phoenixcontact;2903361;;;;
-Q28.1;;RIF-0-RPT-24DC/ 1 - Relaismodul;phoenixcontact;2903361;;;;
-Q28.2;;RIF-0-RPT-24DC/ 1 - Relaismodul;phoenixcontact;2903361;;;;
-Q28.3;;RIF-0-RPT-24DC/ 1 - Relaismodul;phoenixcontact;2903361;;;;
-Q28.4;;RIF-0-RPT-24DC/ 1 - Relaismodul;phoenixcontact;2903361;;;;
-Q36.1;;RIF-0-RPT-24DC/ 1 - Relaismodul;phoenixcontact;2903361;;;;
-Q36.2;;RIF-0-RPT-24DC/ 1 - Relaismodul;phoenixcontact;2903361;;;;
-Q36.3;;RIF-0-RPT-24DC/ 1 - Relaismodul;phoenixcontact;2903361;;;;

-S12.2;;;;;;;;
-S13.1;Bewegungsmelder;;;;;;;
-S14.1;;;;;;;;
-S14.2;;;;;;;;
-S14.3;;;;;;;;
-S14.4;;;;;;;;
-S14.5;;;;;;;;
-S14.6;;;;;;;;
-S14.6;;;;;;;;
-S15.1;;;;;;;;
-S15.2;;;;;;;;
-S15.3;;;;;;;;
-S16.1;;;;;;;;
-S16.2;;;;;;;;
-S16.3;;;;;;;;
-S16.4;;;;;;;;
-S16.5;;;;;;;;
-S24.1;;;;;;;;
-S27.1;;;;;;;;
-S27.2;;;;;;;;
-S27.3;;;;;;;;
-S27.4;;;;;;;;
-S27.5;;;;;;;;
-S27.6;;;;;;;;
-S28.1;;;;;;;;
