Betriebsmittelkennzeichen (BMK);Artikelnummer;Bestellnummer;Menge;Einheit;Artikelbeschreibung
-W2.2;;;;;

-W4.1;;;;;
-W4.2;4044776488064;1025834 - 62;;;LAPP 16000063/1 Mantelleitung NYM-J 5 G 2.5 mm² Grau
-W4.3;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau
-W4.4;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau
-W4.5;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau

-W7.1;4044776488064;1025834 - 62;;;LAPP 16000063/1 Mantelleitung NYM-J 5 G 2.5 mm² Grau
-W7.2;4044776488064;1025834 - 62;;;LAPP 16000063/1 Mantelleitung NYM-J 5 G 2.5 mm² Grau
-W7.3;4044776488064;1025834 - 62;;m;LAPP 16000063/50 Mantelleitung NYM-J 5 G 2.5 mm² Grau
-W7.4;4044776488064;1025834 - 62;;m;LAPP 16000063/50 Mantelleitung NYM-J 5 G 2.5 mm² Grau

-W8.1;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau
-W8.2;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau
-W8.3;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau
-W8.4;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau
-W8.5;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau
-W8.6;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau
-W8.7;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau
-W8.8;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau
-W8.9;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau

-W10.1;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau
-W10.2;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau
-W10.3;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau
-W10.4;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau
-W10.5;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau

-W11.1;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau
-W11.2;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau
-W11.3;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau
-W11.4;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau
-W11.5;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau

-W14.1;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W14.2;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W14.3;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W14.4;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W14.10;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W14.5;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W14.6;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W14.7;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W14.8;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W14.9;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
